s,m,C,C
Time,"Wall thickness","Wall_temperature","Back_wall_temperature"
 0.0000000E+000, 8.0000004E-003, 2.5000000E+001, 2.5000000E+001
 1.0000000E+000, 8.0000004E-003, 2.4999971E+001, 2.5000000E+001
 2.0000000E+000, 8.0000004E-003, 1.0522606E+002, 2.5000000E+001
 3.0000000E+000, 8.0000004E-003, 1.5499443E+002, 2.5000000E+001
 4.0000000E+000, 8.0000004E-003, 1.9278470E+002, 2.5000002E+001
 5.0000000E+000, 8.0000004E-003, 2.2412465E+002, 2.5000008E+001
 6.0000000E+000, 8.0000004E-003, 2.5115787E+002, 2.5000050E+001
 7.0000000E+000, 8.0000004E-003, 2.7514050E+002, 2.5000221E+001
 8.0000000E+000, 8.0000004E-003, 2.9728421E+002, 2.5000790E+001
 9.0000000E+000, 8.0000004E-003, 3.1869275E+002, 2.5002361E+001
 1.0000000E+001, 8.0000004E-003, 3.3854047E+002, 2.5006102E+001
 1.1000000E+001, 8.0000004E-003, 3.5583765E+002, 2.5013969E+001
 1.2000000E+001, 8.0000004E-003, 3.7117114E+002, 2.5028893E+001
 1.3000000E+001, 8.0000004E-003, 3.8502075E+002, 2.5054832E+001
 1.4000000E+001, 8.0000004E-003, 3.9757428E+002, 2.5096746E+001
 1.5000000E+001, 8.0000004E-003, 4.0885712E+002, 2.5160433E+001
 1.6000000E+001, 8.0000004E-003, 4.1886407E+002, 2.5252310E+001
 1.7000000E+001, 8.0000004E-003, 4.2763098E+002, 2.5379177E+001
 1.8000000E+001, 8.0000004E-003, 4.3527707E+002, 2.5547970E+001
 1.9000000E+001, 8.0000004E-003, 4.4205725E+002, 2.5765526E+001
 2.0000000E+001, 8.0000004E-003, 4.4831155E+002, 2.6038441E+001
 2.1000000E+001, 8.0000004E-003, 4.5440173E+002, 2.6372900E+001
 2.2000000E+001, 8.0000004E-003, 4.6064905E+002, 2.6774590E+001
 2.3000000E+001, 8.0000004E-003, 4.6736340E+002, 2.7248602E+001
 2.4000000E+001, 8.0000004E-003, 4.7473929E+002, 2.7799406E+001
 2.5000000E+001, 8.0000004E-003, 4.8287650E+002, 2.8430820E+001
 2.6000000E+001, 8.0000004E-003, 4.9153851E+002, 2.9145973E+001
 2.7000000E+001, 8.0000004E-003, 4.9990009E+002, 2.9947309E+001
 2.8000000E+001, 8.0000004E-003, 5.0641635E+002, 3.0836626E+001
 2.9000000E+001, 8.0000004E-003, 5.1194601E+002, 3.1815083E+001
 3.0000000E+001, 8.0000004E-003, 5.1687579E+002, 3.2883263E+001
 3.1000000E+001, 8.0000004E-003, 5.2152661E+002, 3.4041172E+001
 3.2000000E+001, 8.0000004E-003, 5.2608038E+002, 3.5288372E+001
 3.3000000E+001, 8.0000004E-003, 5.3065778E+002, 3.6624027E+001
 3.4000000E+001, 8.0000004E-003, 5.3535010E+002, 3.8046993E+001
 3.5000000E+001, 8.0000004E-003, 5.4020734E+002, 3.9555759E+001
 3.6000000E+001, 8.0000004E-003, 5.4519196E+002, 4.1148705E+001
 3.7000000E+001, 8.0000004E-003, 5.5019238E+002, 4.2823994E+001
 3.8000000E+001, 8.0000004E-003, 5.5501837E+002, 4.4579556E+001
 3.9000000E+001, 8.0000004E-003, 5.5939502E+002, 4.6413223E+001
 4.0000000E+001, 8.0000004E-003, 5.6328992E+002, 4.8322762E+001
 4.1000000E+001, 8.0000004E-003, 5.6682513E+002, 5.0305756E+001
 4.2000000E+001, 8.0000004E-003, 5.7011554E+002, 5.2359741E+001
 4.3000000E+001, 8.0000004E-003, 5.7327167E+002, 5.4482281E+001
 4.4000000E+001, 8.0000004E-003, 5.7636597E+002, 5.6670826E+001
 4.5000000E+001, 8.0000004E-003, 5.7942798E+002, 5.8922924E+001
 4.6000000E+001, 8.0000004E-003, 5.8250897E+002, 6.1236008E+001
 4.7000000E+001, 8.0000004E-003, 5.8563885E+002, 6.3607723E+001
 4.8000000E+001, 8.0000004E-003, 5.8878601E+002, 6.6035622E+001
 4.9000000E+001, 8.0000004E-003, 5.9191541E+002, 6.8517349E+001
 5.0000000E+001, 8.0000004E-003, 5.9499933E+002, 7.1050400E+001
 5.1000000E+001, 8.0000004E-003, 5.9793372E+002, 7.3632446E+001
 5.2000000E+001, 8.0000004E-003, 6.0070148E+002, 7.6261208E+001
 5.3000000E+001, 8.0000004E-003, 6.0328992E+002, 7.8934334E+001
 5.4000000E+001, 8.0000004E-003, 6.0571118E+002, 8.1649521E+001
 5.5000000E+001, 8.0000004E-003, 6.0802820E+002, 8.4404732E+001
 5.6000000E+001, 8.0000004E-003, 6.1026611E+002, 8.7197830E+001
 5.7000000E+001, 8.0000004E-003, 6.1244867E+002, 9.0026772E+001
 5.8000000E+001, 8.0000004E-003, 6.1459253E+002, 9.2889580E+001
 5.9000000E+001, 8.0000004E-003, 6.1674835E+002, 9.5784416E+001
 6.0000000E+001, 8.0000004E-003, 6.1887750E+002, 9.8709373E+001
 6.1000000E+001, 8.0000004E-003, 6.2101569E+002, 1.0166263E+002
 6.2000000E+001, 8.0000004E-003, 6.2314966E+002, 1.0464245E+002
 6.3000000E+001, 8.0000004E-003, 6.2524463E+002, 1.0764704E+002
 6.4000000E+001, 8.0000004E-003, 6.2731018E+002, 1.1067476E+002
 6.5000000E+001, 8.0000004E-003, 6.2930579E+002, 1.1372395E+002
 6.6000000E+001, 8.0000004E-003, 6.3122528E+002, 1.1679311E+002
 6.7000000E+001, 8.0000004E-003, 6.3306226E+002, 1.1988067E+002
 6.8000000E+001, 8.0000004E-003, 6.3483423E+002, 1.2298518E+002
 6.9000000E+001, 8.0000004E-003, 6.3653436E+002, 1.2610529E+002
 7.0000000E+001, 8.0000004E-003, 6.3818872E+002, 1.2923975E+002
 7.1000000E+001, 8.0000004E-003, 6.3981335E+002, 1.3238725E+002
 7.2000000E+001, 8.0000004E-003, 6.4140216E+002, 1.3554663E+002
 7.3000000E+001, 8.0000004E-003, 6.4298254E+002, 1.3871666E+002
 7.4000000E+001, 8.0000004E-003, 6.4455566E+002, 1.4189621E+002
 7.5000000E+001, 8.0000004E-003, 6.4611310E+002, 1.4508409E+002
 7.6000000E+001, 8.0000004E-003, 6.4767041E+002, 1.4827919E+002
 7.7000000E+001, 8.0000004E-003, 6.4920856E+002, 1.5148044E+002
 7.8000000E+001, 8.0000004E-003, 6.5072717E+002, 1.5468680E+002
 7.9000000E+001, 8.0000004E-003, 6.5221857E+002, 1.5789726E+002
 8.0000000E+001, 8.0000004E-003, 6.5368719E+002, 1.6111090E+002
 8.1000000E+001, 8.0000004E-003, 6.5511139E+002, 1.6432683E+002
 8.2000000E+001, 8.0000004E-003, 6.5649786E+002, 1.6754425E+002
 8.3000000E+001, 8.0000004E-003, 6.5785431E+002, 1.7076237E+002
 8.4000000E+001, 8.0000013E-003, 6.5916522E+002, 1.7398044E+002
 8.5000000E+001, 8.0000013E-003, 6.6045563E+002, 1.7719772E+002
 8.6000000E+001, 8.0000013E-003, 6.6171985E+002, 1.8041350E+002
 8.7000000E+001, 8.0000013E-003, 6.6296283E+002, 1.8362701E+002
 8.8000000E+001, 8.0000013E-003, 6.6419849E+002, 1.8683755E+002
 8.9000000E+001, 8.0000013E-003, 6.6542316E+002, 1.9004439E+002
 9.0000000E+001, 8.0000013E-003, 6.6663831E+002, 1.9324681E+002
 9.1000000E+001, 8.0000013E-003, 6.6784796E+002, 1.9644418E+002
 9.2000000E+001, 8.0000013E-003, 6.6904767E+002, 1.9963586E+002
 9.3000000E+001, 8.0000013E-003, 6.7023456E+002, 2.0282123E+002
 9.4000000E+001, 8.0000013E-003, 6.7140662E+002, 2.0599973E+002
 9.5000000E+001, 8.0000013E-003, 6.7257062E+002, 2.0917081E+002
 9.6000000E+001, 8.0000013E-003, 6.7370789E+002, 2.1233400E+002
 9.7000000E+001, 8.0000013E-003, 6.7482776E+002, 2.1548882E+002
 9.8000000E+001, 8.0000013E-003, 6.7592566E+002, 2.1863478E+002
 9.9000000E+001, 8.0000013E-003, 6.7700208E+002, 2.2177151E+002
 1.0000000E+002, 8.0000013E-003, 6.7806281E+002, 2.2489845E+002
 1.0100000E+002, 8.0000013E-003, 6.7910547E+002, 2.2801512E+002
 1.0200000E+002, 8.0000013E-003, 6.8014136E+002, 2.3112108E+002
 1.0300000E+002, 8.0000013E-003, 6.8115643E+002, 2.3421571E+002
 1.0400000E+002, 8.0000013E-003, 6.8217419E+002, 2.3729860E+002
 1.0500000E+002, 8.0000013E-003, 6.8317291E+002, 2.4036925E+002
 1.0600000E+002, 8.0000013E-003, 6.8417529E+002, 2.4342715E+002
 1.0700000E+002, 8.0000013E-003, 6.8516370E+002, 2.4647198E+002
 1.0800000E+002, 8.0000013E-003, 6.8614496E+002, 2.4950331E+002
 1.0900000E+002, 8.0000013E-003, 6.8711676E+002, 2.5252077E+002
 1.1000000E+002, 8.0000013E-003, 6.8808795E+002, 2.5552405E+002
 1.1100000E+002, 8.0000013E-003, 6.8903595E+002, 2.5851282E+002
 1.1200000E+002, 8.0000013E-003, 6.8998596E+002, 2.6148685E+002
 1.1300000E+002, 8.0000013E-003, 6.9091400E+002, 2.6444574E+002
 1.1400000E+002, 8.0000013E-003, 6.9182849E+002, 2.6738928E+002
 1.1500000E+002, 8.0000013E-003, 6.9273334E+002, 2.7031717E+002
 1.1600000E+002, 8.0000013E-003, 6.9362756E+002, 2.7322906E+002
 1.1700000E+002, 8.0000013E-003, 6.9450592E+002, 2.7612466E+002
 1.1800000E+002, 8.0000013E-003, 6.9538885E+002, 2.7900369E+002
 1.1900000E+002, 8.0000013E-003, 6.9625775E+002, 2.8186588E+002
 1.2000000E+002, 8.0000013E-003, 6.9711914E+002, 2.8471075E+002
 1.2100000E+002, 8.0000013E-003, 6.9797626E+002, 2.8753812E+002
 1.2200000E+002, 8.0000013E-003, 6.9882489E+002, 2.9034763E+002
 1.2300000E+002, 8.0000013E-003, 6.9967108E+002, 2.9313892E+002
 1.2400000E+002, 8.0000013E-003, 7.0051129E+002, 2.9591162E+002
 1.2500000E+002, 8.0000013E-003, 7.0134314E+002, 2.9866528E+002
 1.2600000E+002, 8.0000013E-003, 7.0216931E+002, 3.0139932E+002
 1.2700000E+002, 8.0000013E-003, 7.0298157E+002, 3.0411322E+002
 1.2800000E+002, 8.0000013E-003, 7.0379254E+002, 3.0680634E+002
 1.2900000E+002, 8.0000013E-003, 7.0458728E+002, 3.0947787E+002
 1.3000000E+002, 8.0000013E-003, 7.0537915E+002, 3.1212711E+002
 1.3100000E+002, 8.0000013E-003, 7.0616010E+002, 3.1475323E+002
 1.3200000E+002, 8.0000013E-003, 7.0693738E+002, 3.1735538E+002
 1.3300000E+002, 8.0000013E-003, 7.0770331E+002, 3.1993277E+002
 1.3400000E+002, 8.0000013E-003, 7.0847034E+002, 3.2248441E+002
 1.3500000E+002, 8.0000013E-003, 7.0922998E+002, 3.2500943E+002
 1.3600000E+002, 8.0000013E-003, 7.0998022E+002, 3.2750684E+002
 1.3700000E+002, 8.0000013E-003, 7.1072992E+002, 3.2997565E+002
 1.3800000E+002, 8.0000013E-003, 7.1147229E+002, 3.3241479E+002
 1.3900000E+002, 8.0000013E-003, 7.1220746E+002, 3.3482321E+002
 1.4000000E+002, 8.0000013E-003, 7.1293823E+002, 3.3719971E+002
 1.4100000E+002, 8.0000013E-003, 7.1366345E+002, 3.3954303E+002
 1.4200000E+002, 8.0000013E-003, 7.1437982E+002, 3.4185193E+002
 1.4300000E+002, 8.0000013E-003, 7.1509058E+002, 3.4412512E+002
 1.4400000E+002, 8.0000013E-003, 7.1579926E+002, 3.4636124E+002
 1.4500000E+002, 8.0000013E-003, 7.1649567E+002, 3.4855911E+002
 1.4600000E+002, 8.0000013E-003, 7.1719293E+002, 3.5071750E+002
 1.4700000E+002, 8.0000013E-003, 7.1787939E+002, 3.5283521E+002
 1.4800000E+002, 8.0000013E-003, 7.1856665E+002, 3.5491107E+002
 1.4900000E+002, 8.0000013E-003, 7.1924359E+002, 3.5694397E+002
 1.5000000E+002, 8.0000013E-003, 7.1991418E+002, 3.5893295E+002
 1.5100000E+002, 8.0000013E-003, 7.2058215E+002, 3.6087704E+002
 1.5200000E+002, 8.0000013E-003, 7.2124866E+002, 3.6277539E+002
 1.5300000E+002, 8.0000013E-003, 7.2190344E+002, 3.6462726E+002
 1.5400000E+002, 8.0000013E-003, 7.2255646E+002, 3.6643219E+002
 1.5500000E+002, 8.0000013E-003, 7.2320929E+002, 3.6818979E+002
 1.5600000E+002, 8.0000013E-003, 7.2384821E+002, 3.6989999E+002
 1.5700000E+002, 8.0000013E-003, 7.2448743E+002, 3.7156287E+002
 1.5800000E+002, 8.0000013E-003, 7.2511816E+002, 3.7317877E+002
 1.5900000E+002, 8.0000013E-003, 7.2574536E+002, 3.7474832E+002
 1.6000000E+002, 8.0000013E-003, 7.2636792E+002, 3.7627231E+002
 1.6100000E+002, 8.0000013E-003, 7.2698456E+002, 3.7775186E+002
 1.6200000E+002, 8.0000013E-003, 7.2760187E+002, 3.7918832E+002
 1.6300000E+002, 8.0000013E-003, 7.2820496E+002, 3.8058322E+002
 1.6400000E+002, 8.0000013E-003, 7.2881360E+002, 3.8193829E+002
 1.6500000E+002, 8.0000013E-003, 7.2940741E+002, 3.8325552E+002
 1.6600000E+002, 8.0000013E-003, 7.3000311E+002, 3.8453717E+002
 1.6700000E+002, 8.0000022E-003, 7.3058667E+002, 3.8578574E+002
 1.6800000E+002, 8.0000022E-003, 7.3117413E+002, 3.8700369E+002
 1.6900000E+002, 8.0000022E-003, 7.3175049E+002, 3.8819376E+002
 1.7000000E+002, 8.0000022E-003, 7.3232922E+002, 3.8935867E+002
 1.7100000E+002, 8.0000022E-003, 7.3289368E+002, 3.9050146E+002
 1.7200000E+002, 8.0000022E-003, 7.3346216E+002, 3.9162503E+002
 1.7300000E+002, 8.0000022E-003, 7.3402240E+002, 3.9273227E+002
 1.7400000E+002, 8.0000022E-003, 7.3458008E+002, 3.9382635E+002
 1.7500000E+002, 8.0000022E-003, 7.3512762E+002, 3.9491016E+002
 1.7600000E+002, 8.0000022E-003, 7.3567249E+002, 3.9598663E+002
 1.7700000E+002, 8.0000022E-003, 7.3621838E+002, 3.9705896E+002
 1.7800000E+002, 8.0000022E-003, 7.3675128E+002, 3.9812994E+002
 1.7900000E+002, 8.0000022E-003, 7.3728821E+002, 3.9920261E+002
 1.8000000E+002, 8.0000022E-003, 7.3781830E+002, 4.0027991E+002
 1.8100000E+002, 8.0000022E-003, 7.3833917E+002, 4.0136469E+002
 1.8200000E+002, 8.0000022E-003, 7.3886420E+002, 4.0245956E+002
 1.8300000E+002, 8.0000022E-003, 7.3937610E+002, 4.0356735E+002
 1.8400000E+002, 8.0000022E-003, 7.3988672E+002, 4.0469113E+002
 1.8500000E+002, 8.0000022E-003, 7.4039410E+002, 4.0583347E+002
 1.8600000E+002, 8.0000022E-003, 7.4089734E+002, 4.0699698E+002
 1.8700000E+002, 8.0000022E-003, 7.4139612E+002, 4.0818454E+002
 1.8800000E+002, 8.0000022E-003, 7.4189044E+002, 4.0939917E+002
 1.8900000E+002, 8.0000022E-003, 7.4238074E+002, 4.1064386E+002
 1.9000000E+002, 8.0000022E-003, 7.4286877E+002, 4.1192139E+002
 1.9100000E+002, 8.0000022E-003, 7.4335297E+002, 4.1323495E+002
 1.9200000E+002, 8.0000022E-003, 7.4383069E+002, 4.1458783E+002
 1.9300000E+002, 8.0000022E-003, 7.4430579E+002, 4.1598300E+002
 1.9400000E+002, 8.0000022E-003, 7.4478027E+002, 4.1742505E+002
 1.9500000E+002, 8.0000022E-003, 7.4524792E+002, 4.1891772E+002
 1.9600000E+002, 8.0000022E-003, 7.4571167E+002, 4.2046475E+002
 1.9700000E+002, 8.0000022E-003, 7.4617535E+002, 4.2207071E+002
 1.9800000E+002, 8.0000022E-003, 7.4663239E+002, 4.2374072E+002
 1.9900000E+002, 8.0000022E-003, 7.4708606E+002, 4.2548019E+002
 2.0000000E+002, 8.0000022E-003, 7.4754340E+002, 4.2729529E+002
 2.0100000E+002, 8.0000022E-003, 7.4798938E+002, 4.2919131E+002
 2.0200000E+002, 8.0000022E-003, 7.4843707E+002, 4.3117548E+002
 2.0300000E+002, 8.0000022E-003, 7.4887964E+002, 4.3325488E+002
 2.0400000E+002, 8.0000022E-003, 7.4932263E+002, 4.3543753E+002
 2.0500000E+002, 8.0000022E-003, 7.4976031E+002, 4.3773257E+002
 2.0600000E+002, 8.0000022E-003, 7.5019659E+002, 4.4014789E+002
 2.0700000E+002, 8.0000022E-003, 7.5062970E+002, 4.4269305E+002
 2.0800000E+002, 8.0000022E-003, 7.5106537E+002, 4.4537683E+002
 2.0900000E+002, 8.0000022E-003, 7.5149426E+002, 4.4820789E+002
 2.1000000E+002, 8.0000022E-003, 7.5192346E+002, 4.5119354E+002
 2.1100000E+002, 8.0000022E-003, 7.5235077E+002, 4.5433777E+002
 2.1200000E+002, 8.0000022E-003, 7.5277557E+002, 4.5764133E+002
 2.1300000E+002, 8.0000032E-003, 7.5320044E+002, 4.6110007E+002
 2.1400000E+002, 8.0000032E-003, 7.5362445E+002, 4.6470175E+002
 2.1500000E+002, 8.0000032E-003, 7.5404633E+002, 4.6842206E+002
 2.1600000E+002, 8.0000032E-003, 7.5446973E+002, 4.7222614E+002
 2.1700000E+002, 8.0000032E-003, 7.5489032E+002, 4.7607077E+002
 2.1800000E+002, 8.0000032E-003, 7.5531439E+002, 4.7990335E+002
 2.1900000E+002, 8.0000032E-003, 7.5573401E+002, 4.8367609E+002
 2.2000000E+002, 8.0000032E-003, 7.5615790E+002, 4.8735358E+002
 2.2100000E+002, 8.0000032E-003, 7.5658069E+002, 4.9092010E+002
 2.2200000E+002, 8.0000032E-003, 7.5700488E+002, 4.9437796E+002
 2.2300000E+002, 8.0000032E-003, 7.5743030E+002, 4.9774164E+002
 2.2400000E+002, 8.0000032E-003, 7.5785767E+002, 5.0102454E+002
 2.2500000E+002, 8.0000032E-003, 7.5828436E+002, 5.0423755E+002
 2.2600000E+002, 8.0000032E-003, 7.5871619E+002, 5.0738779E+002
 2.2700000E+002, 8.0000032E-003, 7.5915033E+002, 5.1048080E+002
 2.2800000E+002, 8.0000032E-003, 7.5958417E+002, 5.1352094E+002
 2.2900000E+002, 8.0000032E-003, 7.6002142E+002, 5.1651227E+002
 2.3000000E+002, 8.0000032E-003, 7.6046350E+002, 5.1945709E+002
 2.3100000E+002, 8.0000032E-003, 7.6090430E+002, 5.2235901E+002
 2.3200000E+002, 8.0000032E-003, 7.6135065E+002, 5.2521948E+002
 2.3300000E+002, 8.0000032E-003, 7.6179816E+002, 5.2804108E+002
 2.3400000E+002, 8.0000032E-003, 7.6224792E+002, 5.3082532E+002
 2.3500000E+002, 8.0000032E-003, 7.6270074E+002, 5.3357404E+002
 2.3600000E+002, 8.0000032E-003, 7.6315509E+002, 5.3628815E+002
 2.3700000E+002, 8.0000032E-003, 7.6361121E+002, 5.3896954E+002
 2.3800000E+002, 8.0000032E-003, 7.6406946E+002, 5.4161945E+002
 2.3900000E+002, 8.0000032E-003, 7.6452850E+002, 5.4423840E+002
 2.4000000E+002, 8.0000032E-003, 7.6498938E+002, 5.4682776E+002
 2.4100000E+002, 8.0000032E-003, 7.6545105E+002, 5.4938812E+002
 2.4200000E+002, 8.0000032E-003, 7.6591595E+002, 5.5192084E+002
 2.4300000E+002, 8.0000032E-003, 7.6637860E+002, 5.5442615E+002
 2.4400000E+002, 8.0000032E-003, 7.6684332E+002, 5.5690497E+002
 2.4500000E+002, 8.0000032E-003, 7.6731042E+002, 5.5935822E+002
 2.4600000E+002, 8.0000032E-003, 7.6777277E+002, 5.6178638E+002
 2.4700000E+002, 8.0000032E-003, 7.6824091E+002, 5.6419006E+002
 2.4800000E+002, 8.0000032E-003, 7.6870453E+002, 5.6656982E+002
 2.4900000E+002, 8.0000032E-003, 7.6917175E+002, 5.6892615E+002
 2.5000000E+002, 8.0000032E-003, 7.6963452E+002, 5.7125952E+002
 2.5100000E+002, 8.0000032E-003, 7.7010059E+002, 5.7357037E+002
 2.5200000E+002, 8.0000032E-003, 7.7056299E+002, 5.7585913E+002
 2.5300000E+002, 8.0000032E-003, 7.7102710E+002, 5.7812604E+002
 2.5400000E+002, 8.0000032E-003, 7.7148914E+002, 5.8037195E+002
 2.5500000E+002, 8.0000032E-003, 7.7194873E+002, 5.8259717E+002
 2.5600000E+002, 8.0000032E-003, 7.7240900E+002, 5.8480188E+002
 2.5700000E+002, 8.0000032E-003, 7.7286713E+002, 5.8698627E+002
 2.5800000E+002, 8.0000032E-003, 7.7332397E+002, 5.8915106E+002
 2.5900000E+002, 8.0000032E-003, 7.7377905E+002, 5.9129633E+002
 2.6000000E+002, 8.0000032E-003, 7.7423529E+002, 5.9342230E+002
 2.6100000E+002, 8.0000032E-003, 7.7468719E+002, 5.9552930E+002
 2.6200000E+002, 8.0000032E-003, 7.7513782E+002, 5.9761774E+002
 2.6300000E+002, 8.0000032E-003, 7.7558923E+002, 5.9968805E+002
 2.6400000E+002, 8.0000032E-003, 7.7603638E+002, 6.0174011E+002
 2.6500000E+002, 8.0000032E-003, 7.7648096E+002, 6.0377466E+002
 2.6600000E+002, 8.0000032E-003, 7.7692511E+002, 6.0579138E+002
 2.6700000E+002, 8.0000032E-003, 7.7736652E+002, 6.0779077E+002
 2.6800000E+002, 8.0000032E-003, 7.7780664E+002, 6.0977301E+002
 2.6900000E+002, 8.0000032E-003, 7.7824615E+002, 6.1173816E+002
 2.7000000E+002, 8.0000032E-003, 7.7867987E+002, 6.1368658E+002
 2.7100000E+002, 8.0000032E-003, 7.7911481E+002, 6.1561841E+002
 2.7200000E+002, 8.0000032E-003, 7.7954645E+002, 6.1753418E+002
 2.7300000E+002, 8.0000032E-003, 7.7997473E+002, 6.1943372E+002
 2.7400000E+002, 8.0000032E-003, 7.8040167E+002, 6.2131702E+002
 2.7500000E+002, 8.0000032E-003, 7.8082751E+002, 6.2318457E+002
 2.7600000E+002, 8.0000032E-003, 7.8124829E+002, 6.2503662E+002
 2.7700000E+002, 8.0000032E-003, 7.8166901E+002, 6.2687286E+002
 2.7800000E+002, 8.0000032E-003, 7.8208716E+002, 6.2869409E+002
 2.7900000E+002, 8.0000032E-003, 7.8250421E+002, 6.3049994E+002
 2.8000000E+002, 8.0000032E-003, 7.8291516E+002, 6.3229095E+002
 2.8100000E+002, 8.0000032E-003, 7.8332831E+002, 6.3406696E+002
 2.8200000E+002, 8.0000032E-003, 7.8373615E+002, 6.3582843E+002
 2.8300000E+002, 8.0000032E-003, 7.8414148E+002, 6.3757507E+002
 2.8400000E+002, 8.0000032E-003, 7.8454590E+002, 6.3930743E+002
 2.8500000E+002, 8.0000032E-003, 7.8494739E+002, 6.4102557E+002
 2.8600000E+002, 8.0000032E-003, 7.8534583E+002, 6.4272949E+002
 2.8700000E+002, 8.0000032E-003, 7.8574396E+002, 6.4441937E+002
 2.8800000E+002, 8.0000032E-003, 7.8613568E+002, 6.4609546E+002
 2.8900000E+002, 8.0000032E-003, 7.8652814E+002, 6.4775775E+002
 2.9000000E+002, 8.0000032E-003, 7.8691815E+002, 6.4940625E+002
 2.9100000E+002, 8.0000032E-003, 7.8730475E+002, 6.5104126E+002
 2.9200000E+002, 8.0000032E-003, 7.8768762E+002, 6.5266266E+002
 2.9300000E+002, 8.0000032E-003, 7.8807050E+002, 6.5427081E+002
 2.9400000E+002, 8.0000032E-003, 7.8844995E+002, 6.5586584E+002
 2.9500000E+002, 8.0000032E-003, 7.8882678E+002, 6.5744788E+002
 2.9600000E+002, 8.0000032E-003, 7.8920312E+002, 6.5901685E+002
 2.9700000E+002, 8.0000032E-003, 7.8957281E+002, 6.6057281E+002
 2.9800000E+002, 8.0000032E-003, 7.8994183E+002, 6.6211609E+002
